V1	V2
AT1G01250	1
AT1G01360	1
AT1G09610	1
AT1G15270	1
AT1G16490	1
AT1G17810	1
WS2_G0001921	1
AT1G21540	1
AT1G27380	1
AT1G29200	1
AT1G33090	1
AT1G34040	1
AT1G47240	1
AT1G51170	1
AT1G52825	1
AT1G62262	1
AT1G62333	1
AT1G66810	1
AT1G68040	1
AT1G68200	1
AT1G71960	1
AT1G73040	1
AT1G73410	1
AT1G74460	1
AT1G78990	1
AT1G80320	1
AT2G03200	1
AT2G15440	1
AT2G21180	1
AT2G21720	1
AT2G23540	1
AT2G27030	1
AT2G27220	1
AT1G29890	1
AT2G40170	1
AT2G40320	1
AT2G42250	1
AT2G43390	1
AT2G48140	1
AT3G14810	1
AT3G22640	1
AT3G26040	1
AT3G26744	1
AT3G27660	1
AT3G49260	1
AT3G53510	1
AT3G55120	1
AT3G55720	1
AT3G59580	1
AT3G62750	1
AT4G01060	1
AT4G08170	1
AT4G08870	1
AT4G14020	1
AT4G15093	1
AT4G15440	1
AT4G16610	1
AT4G18380	1
AT4G18440	1
AT4G20235	1
AT4G24413	1
AT4G30970	1
AT4G33330	1
AT4G33950	1
AT5G05870	1
AT5G06510	1
AT5G07130	1
AT5G07330	1
AT5G09480	1
AT5G15630	1
AT5G16740	1
AT5G17420	1
AT5G17860	1
AT5G20900	1
AT5G36150	1
AT5G37478	1
AT5G37980	1
AT5G37990	1
AT5G40250	1
AT5G41600	1
AT5G44005	1
AT5G44030	1
AT5G45970	1
AT5G47640	1
AT5G47800	1
AT5G61290	1
AT5G67210	1
AT5G67230	1
