V1	V2
AT1G01580	1
AT1G07560	1
AT1G11530	1
AT1G13110	1
AT1G13300	1
AT1G14040	1
AT1G15125	1
AT1G15530	1
AT1G15670	1
AT1G21400	1
AT1G22500	1
AT1G23020	1
AT1G23150	1
AT1G23870	1
AT1G25540	1
AT1G25550	1
AT1G26250	1
AT1G29740	1
AT1G33790	1
AT1G34760	1
AT1G49030	1
AT1G49500	1
AT1G49860	1
AT1G50050	1
AT1G52200	1
AT1G53080	1
AT1G56160	1
AT1G61360	1
AT1G64140	1
AT1G64160	1
AT1G67110	1
AT1G68670	1
AT1G72300	1
AT1G72360	1
AT1G73120	1
AT1G77210	1
AT1G78000	1
AT1G80380	1
AT1G80440	1
AT1G80830	1
AT2G13360	1
AT2G14510	1
AT2G19210	1
AT2G21045	1
AT2G22990	1
AT2G25409	1
AT2G26980	1
AT2G29995	1
AT2G34000	1
AT2G34317	1
AT2G35270	1
AT2G36470	1
AT2G36690	1
AT2G37820	1
AT2G38870	1
AT2G40330	1
AT2G41240	1
AT2G41560	1
AT2G41700	1
AT2G42280	1
AT2G43220	1
AT2G43970	1
AT2G44380	1
AT2G44490	1
AT2G47450	1
AT3G02470	1
AT3G07720	1
AT3G10720	1
AT3G11750	1
AT3G11930	1
AT3G12900	1
AT3G18560	1
AT3G20360	1
AT3G20380	1
AT3G21630	1
AT3G23550	1
AT3G24540	1
AT3G25790	1
AT3G27950	1
WS2_G0016331	1
AT3G28650	1
AT3G46810	1
AT3G46900	1
AT3G48990	1
AT3G49940	1
AT3G50740	1
AT3G51330	1
AT3G53280	1
AT3G53480	1
AT3G55610	1
AT3G56360	1
AT3G58810	1
AT3G62280	1
AT4G01970	1
AT4G08620	1
AT4G09420	1
AT4G10530	1
AT4G10550	1
AT4G15360	1
AT4G19680	1
AT4G19690	1
AT4G19770	1
AT4G21400	1
AT4G21410	1
AT4G23270	1
AT4G24020	1
AT4G25170	1
AT4G28410	1
AT4G30120	1
AT4G30140	1
AT4G36850	1
AT4G37060	1
AT4G38420	1
AT4G38550	1
AT4G39675	1
AT4G40063	1
AT5G01740	1
AT5G03570	1
AT5G05420	1
AT5G05440	1
AT5G07080	1
AT5G19120	1
AT5G19890	1
AT5G20200	1
AT5G20250	1
AT5G24180	1
AT5G24230	1
AT5G24920	1
AT5G26280	1
AT5G28960	1
AT5G38940	1
AT5G40100	1
AT5G40590	1
AT5G41290	1
AT5G43350	1
AT5G43520	1
AT4G19690	1
WS2_G0028876	1
AT5G45480	1
AT5G45500	1
AT5G48430	1
AT5G49770	1
AT5G54720	1
AT5G58750	1
AT5G59680	1
AT5G59930	1
AT5G60760	1
AT5G63160	1
AT5G66900	1
