V1	V2
AT1G01490	1
AT1G02560	1
AT1G04660	1
AT1G07120	1
AT1G07380	1
AT1G08230	1
AT1G11080	1
AT1G15310	1
AT1G15810	1
AT1G16400	1
AT1G16410	1
AT1G17040	1
AT1G17810	1
WS2_G0002271	1
AT1G27070	1
AT1G28300	1
AT1G28570	1
AT1G29810	1
AT1G30500	1
AT1G31750	1
AT1G31790	1
AT1G32560	1
AT1G34040	1
AT1G44170	1
AT1G49160	1
AT1G49310	1
AT1G49320	1
AT1G49970	1
AT1G54290	1
AT1G54340	1
AT1G55760	1
AT1G56650	1
AT1G62710	1
AT1G62800	1
AT1G65860	1
AT1G67600	1
AT1G69310	1
AT1G69440	1
AT1G71240	1
AT1G73040	1
AT1G73330	1
AT1G75390	1
AT1G76820	1
AT1G78670	1
AT1G80760	1
AT2G14440	1
AT2G14750	1
AT2G15318	1
AT2G15790	1
AT2G19930	1
AT2G20500	1
AT2G21250	1
AT2G21720	1
AT2G27190	1
AT2G28200	1
AT2G28305	1
AT2G29370	1
AT2G31530	1
AT2G35140	1
AT2G36950	1
AT2G44990	1
AT2G45040	1
AT5G06265	1
AT2G45280	1
AT3G02020	1
AT3G03270	1
AT3G03300	1
AT3G05020	1
AT3G05937	1
AT3G08860	1
AT3G10450	1
AT3G12560	1
AT3G14880	1
AT3G15750	1
AT3G19550	1
AT3G22550	1
AT3G22740	1
AT3G22750	1
AT3G23430	1
AT3G23490	1
AT3G23790	1
AT3G24255	1
AT3G26380	1
AT3G27820	1
AT3G28050	1
AT3G28080	1
AT3G28270	1
AT3G42670	1
AT3G47560	1
AT3G48410	1
AT3G48480	1
AT1G48720	1
AT3G52490	1
AT3G54510	1
AT3G55230	1
AT3G57680	1
AT3G57770	1
AT3G58990	1
AT3G61990	1
AT4G00870	1
AT4G02150	1
AT4G03050	1
AT3G29639	1
AT4G10380	1
AT4G11910	1
AT4G12030	1
AT4G12080	1
AT4G15210	1
AT4G15765	1
AT4G16563	1
AT4G17350	1
AT4G19430	1
AT4G19570	1
AT4G21550	1
AT4G21680	1
AT4G22880	1
AT4G23600	1
AT4G23990	1
AT4G24450	1
AT4G30960	1
AT4G32320	1
AT4G32940	1
AT4G35060	1
AT4G36260	1
AT4G36860	1
AT4G37450	1
AT4G38092	1
AT4G38380	1
AT5G01320	1
AT5G02380	1
AT5G03495	1
AT5G04110	1
AT5G04740	1
AT5G04850	1
AT5G04900	1
AT5G06570	1
AT5G07400	1
AT5G07990	1
AT5G17790	1
AT5G19470	1
AT5G19600	1
AT5G21950	1
AT5G23750	1
AT5G24130	1
AT5G24275	1
AT5G34850	1
WS2_G0027733	1
AT5G39610	1
AT5G41761	1
AT5G41800	1
AT5G41960	1
AT5G42800	1
AT5G44005	1
AT5G44560	1
AT5G47800	1
AT5G49290	1
AT5G53350	1
AT5G53920	1
AT5G54060	1
AT5G56790	1
AT5G56840	1
AT5G57685	1
AT5G57815	1
AT5G58650	1
AT5G58660	1
AT5G59340	1
AT5G59990	1
AT5G60360	1
AT5G60600	1
AT5G64530	1
AT5G64570	1
AT5G64780	1
AT5G65870	1
