V1	V2
AT1G01370	1
AT1G01480	1
AT1G01680	1
AT1G02230	1
AT1G02360	1
AT1G02450	1
AT1G03210	1
AT1G03660	1
AT1G04280	1
AT1G04510	1
AT1G04600	1
AT1G05630	1
AT1G05880	1
AT1G07020	1
AT1G08450	1
AT1G09080	1
AT1G09170	1
AT1G09575	1
AT1G09750	1
AT1G10350	1
AT1G10470	1
AT1G10630	1
AT1G10700	1
AT1G11280	1
AT1G12420	1
AT1G12920	1
AT1G13310	1
AT1G13320	1
AT1G14170	1
AT1G14290	1
AT1G14670	1
AT1G14880	1
AT1G15830	1
AT1G16500	1
AT1G17615	1
AT1G18260	1
AT1G19050	1
AT1G19250	1
AT1G19400	1
AT1G20850	1
AT1G21240	1
WS2_G0002308	1
AT1G24360	1
AT1G30420	1
AT1G30900	1
AT1G31885	1
AT1G32210	1
AT1G32960	1
AT1G33960	1
AT1G35160	1
AT1G35580	1
AT1G35710	1
AT1G44130	1
AT1G47480	1
AT1G48480	1
AT1G49040	1
AT1G49730	1
AT1G50010	1
AT1G50430	1
AT1G51800	1
AT1G51890	1
AT1G54010	1
AT1G54150	1
AT1G54360	1
AT1G55775	1
AT1G56550	1
AT1G57560	1
AT1G57630	1
AT1G57650	1
AT1G57720	1
AT1G58070	1
AT1G61080	1
AT1G61790	1
AT1G65483	1
AT1G65690	1
AT1G66465	1
AT1G66960	1
AT1G69530	1
AT1G69740	1
AT1G72280	1
AT1G72730	1
AT1G73805	1
AT1G74590	1
AT1G74710	1
AT1G76970	1
AT1G78920	1
AT1G79450	1
AT2G02230	1
AT2G02580	1
AT2G02810	1
AT2G04070	1
AT2G07240	1
AT2G13810	1
AT2G14610	1
AT2G16440	1
AT2G19190	1
AT2G20630	1
AT2G20750	1
AT2G21850	1
AT2G21900	1
AT2G24570	1
AT2G24850	1
AT2G25520	1
AT2G26390	1
AT2G26400	1
AT2G28760	1
AT2G28940	1
AT2G30010	1
AT2G30070	1
AT2G30395	1
AT2G30540	1
AT2G30550	1
AT2G30766	1
AT2G33370	1
AT2G33410	1
AT2G34040	1
AT2G34430	1
AT2G34650	1
AT2G34940	1
AT2G35020	1
AT2G36305	1
AT2G36360	1
AT2G37750	1
AT2G37980	1
AT2G38340	1
AT2G38440	1
AT2G39518	1
AT2G40520	1
AT2G43070	1
AT2G43570	1
AT2G44240	1
AT2G45220	1
AT2G45540	1
AT2G45760	1
AT2G45790	1
AT3G03160	1
AT3G03990	1
WS2_G0013606	1
AT3G05800	1
AT3G06370	1
AT3G06450	1
AT3G06760	1
AT3G07010	1
AT3G09740	1
AT3G09940	1
AT3G09960	1
AT4G32200	1
AT3G11040	1
AT3G11340	1
AT3G12100	1
AT3G12220	1
AT3G13580	1
AT3G13790	1
AT3G14290	1
AT3G14470	1
AT3G15820	1
AT3G16240	1
AT3G16700	1
AT3G17690	1
AT3G19820	1
AT3G22240	1
AT3G22910	1
AT3G23530	1
AT3G24542	1
AT3G25882	1
AT3G26470	1
AT3G26830	1
AT3G27610	1
AT3G28510	1
AT3G30180	1
WS2_G0017423	1
AT3G45410	1
AT3G46260	1
AT3G47050	1
AT3G47290	1
AT3G47540	1
AT3G48850	1
AT3G51330	1
AT3G51440	1
AT3G53150	1
AT3G55260	1
AT3G55690	1
AT3G55700	1
AT3G56620	1
AT3G57240	1
AT3G57950	1
AT3G58120	1
AT3G58640	1
AT3G59500	1
AT3G59570	1
AT3G60260	1
AT3G60290	1
AT3G60470	1
AT3G60540	1
AT3G60860	1
AT1G10522	1
AT3G61390	1
AT3G61670	1
AT3G62370	1
AT3G63240	1
AT3G63420	1
AT4G00400	1
AT4G00700	1
AT4G02850	1
WS2_G0020565	1
AT4G09100	1
AT4G10500	1
AT4G11260	1
AT4G11340	1
AT4G11655	1
AT4G14630	1
AT4G15120	1
AT4G15417	1
AT4G16215	1
AT4G18430	1
AT4G18970	1
AT4G19970	1
AT4G22070	1
AT4G23060	1
AT4G23470	1
AT4G23650	1
AT4G23700	1
AT4G25070	1
AT4G28150	1
AT4G28940	1
AT4G30230	1
AT4G30260	1
AT4G30640	1
AT4G31290	1
AT4G32870	1
AT4G33360	1
AT4G33790	1
AT4G34570	1
AT4G35110	1
AT4G35180	1
AT4G37900	1
AT4G38830	1
AT4G38950	1
AT4G39030	1
AT4G39050	1
AT4G39610	1
AT4G39830	1
AT5G01550	1
AT5G01900	1
AT5G01970	1
AT5G02190	1
AT5G02820	1
AT5G02890	1
AT5G03350	1
AT5G04560	1
AT5G04920	1
AT5G05730	1
AT5G05860	1
AT5G07650	1
AT5G07770	1
AT5G08670	1
AT5G09290	1
AT5G09730	1
AT5G11210	1
AT5G13320	1
AT5G15580	1
AT5G15870	1
AT5G16080	1
AT5G16170	1
AT5G16230	1
AT5G16690	1
AT5G17760	1
AT5G20500	1
AT5G20950	1
AT5G20960	1
AT5G22570	1
AT5G22580	1
AT5G22780	1
AT5G24200	1
AT5G24530	1
AT5G24580	1
AT5G25260	1
AT5G25460	1
AT5G38880	1
AT5G40010	1
AT5G41880	1
AT5G42830	1
AT5G44340	1
AT5G44460	1
AT5G45490	1
AT5G46871	1
AT5G47440	1
AT5G48400	1
AT5G48410	1
AT5G48440	1
AT5G48490	1
AT5G48900	1
AT5G49100	1
AT5G49680	1
AT5G50000	1
AT5G52540	1
AT5G53110	1
AT5G57370	1
AT5G58540	1
AT5G60280	1
AT5G60800	1
AT5G60950	1
AT5G61190	1
AT5G62180	1
AT5G62300	1
AT5G63180	1
AT5G63225	1
AT5G64000	1
AT5G64810	1
