V1	V2
AT1G01260	1
AT1G01950	1
AT1G02340	1
AT1G02350	1
WS2_G0000163	1
AT1G02610	1
AT1G02640	1
AT1G02860	1
AT1G02880	1
AT1G03590	1
AT1G03740	1
AT1G03770	1
AT1G04180	1
AT1G04360	1
AT1G05010	1
AT1G05300	1
AT1G05675	1
AT1G05805	1
AT1G07160	1
AT1G07430	1
AT1G07510	1
AT1G08315	1
AT1G08820	1
AT1G08920	1
AT1G08980	1
AT1G09570	1
AT1G09970	1
AT1G10090	1
AT1G10760	1
AT1G10970	1
AT1G11210	1
AT1G11260	1
AT1G12030	1
AT1G12220	1
AT1G12750	1
AT1G12760	1
AT1G12790	1
AT1G13190	1
AT1G13210	1
AT1G13740	1
AT1G14540	1
AT1G14740	1
AT1G15125	1
AT1G15530	1
AT1G15550	1
AT1G15740	1
AT1G15800	1
AT1G15910	1
AT1G16110	1
AT1G17145	1
AT1G17147	1
AT1G17640	1
AT1G17665	1
AT1G17710	1
AT1G17790	1
AT1G17850	1
AT1G17860	1
AT1G17970	1
AT1G18390	1
AT1G18470	1
AT1G18570	1
AT1G18870	1
AT1G18880	1
AT1G19050	1
AT1G19310	1
AT1G20030	1
AT1G20440	1
AT1G20620	1
AT1G21000	1
AT1G21100	1
AT1G21130	1
AT1G21130	1
AT1G21130	1
AT1G21670	1
AT1G21730	1
AT1G22810	1
AT1G23870	1
AT1G24400	1
AT1G24575	1
AT1G25220	1
AT1G25275	1
AT1G27130	1
AT1G27290	1
AT1G27300	1
AT1G28070	1
AT1G28100	1
AT1G28330	1
AT1G29050	1
AT1G29670	1
AT1G30755	1
AT1G31930	1
AT1G32360	1
AT1G33600	1
AT1G34180	1
AT1G34300	1
AT1G34370	1
AT1G36370	1
AT1G42990	1
AT1G34070	1
AT1G49032	1
AT1G49130	1
AT1G49500	1
AT1G49640	1
AT1G52700	1
AT1G53080	1
AT1G53110	1
AT1G53170	1
AT1G53320	1
AT1G53430	1
AT1G53440	1
AT1G54575	1
AT1G55450	1
AT1G56220	1
AT1G56240	1
AT1G56650	1
AT1G57990	1
AT1G58200	1
AT1G59870	1
AT1G60140	1
AT1G60190	1
AT1G61340	1
AT1G62300	1
AT1G63750	1
AT1G64380	1
AT1G64660	1
AT1G64710	1
AT1G65580	1
AT1G66390	1
AT1G66570	1
AT1G66700	1
AT1G66750	1
AT1G66760	1
AT1G66890	1
AT1G67600	1
AT1G68020	1
AT1G68190	1
AT1G68670	1
AT1G69040	1
AT1G69270	1
AT1G69360	1
AT1G69370	1
AT1G69490	1
AT1G69850	1
AT1G69890	1
AT1G69900	1
AT1G69910	1
AT1G70290	1
AT1G70520	1
AT1G70530	1
AT1G70820	1
AT1G71400	1
AT1G71520	1
AT1G72160	1
AT1G72180	1
AT1G73040	1
AT1G73200	1
AT1G73330	1
AT1G73480	1
AT1G73750	1
AT1G74910	1
AT1G75230	1
AT1G75260	1
AT1G75280	1
AT1G75390	1
AT1G75450	1
AT1G75450	1
AT1G75800	1
AT1G76460	1
AT1G76590	1
AT1G76690	1
AT1G77390	1
AT1G77450	1
AT1G77960	1
AT1G77990	1
AT1G78410	1
AT1G78460	1
AT1G78830	1
AT1G79670	1
AT1G80320	1
AT1G80420	1
AT1G80450	1
AT1G80920	1
AT2G01450	1
AT2G01610	1
AT2G01818	1
AT2G01990	1
AT2G02220	1
AT2G02370	1
AT2G02710	1
AT2G03530	1
AT2G03530	1
AT2G03590	1
AT2G03730	1
AT2G13790	1
AT2G14440	1
AT2G15042	1
AT2G15390	1
AT2G15880	1
AT2G15890	1
AT2G17520	1
AT2G18196	1
AT2G18670	1
AT2G18700	1
AT2G19810	1
AT2G19930	1
AT2G20210	1
AT2G21045	1
AT2G22430	1
AT2G22880	1
AT2G23320	1
AT2G26980	1
AT2G27050	1
AT2G28080	1
AT2G28305	1
AT2G28500	1
AT2G28630	1
AT2G28830	1
AT2G28840	1
AT2G29290	1
AT2G29300	1
AT2G29670	1
AT2G29680	1
AT2G30250	1
AT2G30600	1
AT2G30990	1
AT2G31020	1
AT2G31800	1
AT2G32150	1
AT2G33390	1
AT2G33830	1
AT2G35170	1
AT2G36400	1
AT2G37260	1
AT2G37980	1
AT2G38120	1
AT2G38400	1
AT2G38780	1
AT2G39250	1
AT2G39360	1
AT2G39400	1
AT2G39660	1
AT2G39800	1
AT2G39870	1
AT2G40095	1
AT2G40390	1
AT2G40840	1
AT2G40970	1
AT2G41420	1
AT2G41430	1
AT2G41475	1
AT2G43060	1
AT2G44460	1
AT2G44490	1
AT2G44910	1
AT2G45660	1
AT2G45920	1
AT2G46310	1
AT2G46620	1
AT2G46970	1
AT2G47000	1
AT3G02070	1
AT3G02990	1
AT3G03870	1
AT3G04450	1
AT3G04910	1
AT3G04930	1
AT3G05165	1
AT3G05370	1
AT3G05400	1
AT3G05990	1
AT3G07273	1
AT3G07350	1
AT3G07880	1
AT3G08510	1
AT3G08760	1
AT3G08860	1
WS2_G0014069	1
AT3G09032	1
AT3G10720	1
AT3G10985	1
AT3G11410	1
AT3G11420	1
AT3G12520	1
AT3G12910	1
AT3G13750	1
AT3G14050	1
AT3G14440	1
AT3G15210	1
AT3G15450	1
AT3G15500	1
AT3G15630	1
AT3G15650	1
AT3G16360	1
AT3G16800	1
AT3G17510	1
AT3G17860	1
AT3G18080	1
AT3G18090	1
AT3G18560	1
AT3G18710	1
AT3G18830	1
AT3G19290	1
AT3G19380	1
AT3G20380	1
AT3G20770	1
AT3G21070	1
AT3G22460	1
AT3G23230	1
AT3G23550	1
AT3G24520	1
AT3G25770	1
AT3G26500	1
