V1	V2
AT1G02820	1
AT1G03780	1
AT1G04020	1
AT1G04220	1
AT1G04530	1
AT1G05055	1
AT1G05170	1
AT1G05570	1
AT1G06760	1
AT1G06980	1
AT1G07350	1
AT1G08250	1
AT2G19365	1
AT1G09640	1
AT1G10020	1
AT1G10370	1
AT1G11660	1
AT1G12460	1
AT1G12520	1
AT1G13020	1
WS2_G0001384	1
AT1G13440	1
AT1G13470	1
AT1G13830	1
AT1G14200	1
AT1G14810	1
AT1G14880	1
AT1G15260	1
AT1G16070	1
AT1G18080	1
AT1G18540	1
AT1G18590	1
AT1G19250	1
AT1G19440	1
AT1G19920	1
AT1G19940	1
AT1G20770	1
AT1G21240	1
AT1G21440	1
AT1G21660	1
AT1G23290	1
AT1G24100	1
AT1G26210	1
AT1G26390	1
AT1G27360	1
AT1G27370	1
AT1G28350	1
AT1G28510	1
AT1G28560	1
AT1G28670	1
AT1G30900	1
AT1G31220	1
AT1G31230	1
AT1G31690	1
AT1G32450	1
AT1G32940	1
AT1G33030	1
AT1G34570	1
AT1G45010	1
AT1G47480	1
AT1G48480	1
AT1G48630	1
AT1G49760	1
AT1G50170	1
AT1G50180	1
AT1G50380	1
AT1G51060	1
AT1G51440	1
AT1G51860	1
AT1G51890	1
AT1G53240	1
AT1G53880	1
AT1G54270	1
AT1G55530	1
AT1G55910	1
AT1G55960	1
AT1G56070	1
AT1G56120	1
AT1G56330	1
AT1G57560	1
AT1G60440	1
AT1G60780	1
AT1G60989	1
AT1G61870	1
AT1G62030	1
AT1G62180	1
AT1G62560	1
AT1G63850	1
AT1G64530	1
AT1G64970	1
AT1G65030	1
AT1G65690	1
AT1G65870	1
AT1G66190	1
AT1G67480	1
AT1G67520	1
AT1G67680	1
AT1G68440	1
AT1G69760	1
AT1G71840	1
AT1G72430	1
AT1G72470	1
AT1G74090	1
AT1G74590	1
AT1G75040	1
AT1G75150	1
AT1G75710	1
AT1G76930	1
AT1G78100	1
AT1G78430	1
AT1G78510	1
AT1G79920	1
AT1G79930	1
AT2G01140	1
AT2G01290	1
AT2G02580	1
AT2G04450	1
AT2G13810	1
WS2_G0009358	1
AT2G14560	1
AT2G14610	1
AT2G15020	1
AT2G16660	1
AT2G17250	1
AT2G17300	1
AT2G20690	1
AT2G21160	1
AT2G21200	1
AT2G21320	1
AT2G21970	1
AT2G22360	1
AT2G23700	1
AT2G24200	1
AT2G24540	1
AT2G24850	1
AT2G25000	1
AT2G25140	1
AT2G25620	1
AT2G26150	1
AT2G26400	1
AT2G27420	1
AT2G29350	1
AT2G29460	1
AT2G29910	1
AT2G30150	1
AT2G30550	1
AT2G30766	1
AT2G30860	1
AT2G31410	1
AT2G31560	1
AT2G31740	1
AT2G32295	1
AT2G32950	1
AT2G33180	1
AT2G33530	1
AT2G33845	1
AT2G33850	1
AT2G34150	1
AT2G34940	1
AT2G36630	1
AT2G37270	1
AT2G38195	1
AT2G38310	1
AT2G38860	1
AT2G39740	1
AT2G39950	1
AT2G40290	1
AT2G40750	1
AT2G40800	1
AT2G40820	1
AT2G41090	1
AT2G41140	1
AT2G41170	1
AT2G41180	1
AT2G41250	1
AT2G43000	1
AT2G43510	1
AT2G43570	1
AT2G44240	1
AT2G45220	1
AT2G45300	1
AT2G45340	1
AT2G45440	1
AT2G45560	1
AT2G46150	1
AT2G46320	1
AT2G46440	1
AT2G46440	1
AT2G47610	1
AT3G02230	1
AT3G02450	1
AT3G02820	1
AT3G03960	1
AT3G03990	1
AT3G04480	1
AT3G04710	1
AT3G04790	1
AT3G05050	1
AT3G06540	1
AT3G07110	1
AT3G07570	1
AT3G08505	1
AT3G08580	1
AT3G08640	1
AT3G08740	1
AT3G08943	1
AT3G09440	1
AT3G09450	1
AT3G09490	1
AT3G09630	1
AT3G09810	1
AT3G09890	1
AT3G09940	1
AT3G10525	1
AT3G10680	1
AT3G11070	1
AT3G11090	1
AT3G11110	1
AT3G11340	1
AT3G11402	1
AT3G12220	1
AT3G13070	1
AT3G13470	1
AT3G13520	1
AT3G13650	1
AT3G13790	1
AT3G14210	1
AT3G14400	1
AT3G14680	1
AT3G15090	1
AT3G15400	1
AT3G15640	1
AT3G16780	1
AT3G17380	1
AT3G17970	1
AT3G18130	1
AT3G18270	1
AT3G19710	1
AT3G19870	1
AT3G20000	1
AT3G21760	1
AT3G22600	1
AT3G23940	1
AT3G23990	1
AT3G24170	1
AT3G24180	1
AT3G24460	1
AT3G24463	1
AT3G25590	1
AT3G25882	1
AT3G26830	1
AT3G27240	1
AT3G27400	1
