V1	V2
AT1G01770	1
AT1G02060	1
AT1G02220	1
AT1G02850	1
AT1G02960	1
AT1G03440	1
AT1G03550	1
AT1G03960	1
AT1G04300	1
AT1G04620	1
AT1G04770	1
AT1G05830	1
AT1G06460	1
AT1G07280	1
AT1G07440	1
AT1G09230	1
AT1G09710	1
AT1G09770	1
AT1G10450	1
AT1G10610	1
AT1G10910	1
AT1G10960	1
AT1G11170	1
AT1G12790	1
AT1G13930	1
AT1G14660	1
AT1G15890	1
AT1G21520	1
AT1G21600	1
AT1G21610	1
AT1G22770	1
AT1G26240	1
AT1G26260	1
AT1G26580	1
AT1G27170	1
AT1G27520	1
AT1G27752	1
AT1G30545	1
AT1G30970	1
AT1G31770	1
AT1G32080	1
AT1G33110	1
AT1G33340	1
AT1G33980	1
AT1G34360	1
AT1G36070	1
AT1G42970	1
AT1G47400	1
AT1G47530	1
AT1G48430	1
AT1G49720	1
AT1G49980	1
AT1G53780	1
AT1G54570	1
AT1G55850	1
AT1G56430	1
AT1G60200	1
AT1G60900	1
AT1G61030	1
AT1G62180	1
AT1G62310	1
AT1G64720	1
AT1G65660	1
AT1G66600	1
WS2_G0006468	1
AT1G68360	1
AT1G69880	1
AT1G70620	1
AT1G71140	1
AT1G76520	1
AT1G76720	1
AT1G78750	1
AT1G78915	1
AT1G78960	1
AT1G79880	1
AT2G02570	1
AT2G03780	1
AT2G05510	1
AT2G15880	1
AT2G16365	1
WS2_G0009810	1
AT1G08520	1
AT2G21330	1
AT2G21660	1
AT2G23980	1
AT2G25850	1
AT2G26280	1
AT2G28800	1
AT2G31280	1
AT2G31960	1
AT2G35920	1
AT2G37410	1
AT2G37770	1
AT2G38280	1
AT2G39730	1
AT2G40080	1
AT2G41210	1
AT2G43680	1
AT2G43920	1
AT2G44750	1
AT2G45920	1
AT2G46420	1
AT2G47250	1
AT3G01500	1
AT3G01690	1
AT3G02300	1
AT3G02380	1
AT3G04420	1
AT3G04450	1
AT3G06290	1
AT3G06980	1
AT3G07650	1
AT3G07660	1
AT3G09390	1
AT3G10160	1
AT3G12620	1
AT3G12750	1
AT3G13225	1
AT3G14010	1
AT3G14420	1
AT3G14660	1
AT3G14660	1
AT3G15840	1
AT3G16260	1
AT3G18440	1
AT3G18485	1
AT3G18610	1
AT3G20810	1
AT3G21560	1
AT3G22440	1
AT3G22840	1
AT3G26160	1
AT3G27300	1
AT3G29390	1
AT3G42640	1
AT3G46640	1
AT3G61030	1
AT3G49140	1
AT3G51240	1
AT3G53530	1
AT3G54720	1
AT3G55800	1
AT3G55850	1
AT3G57170	1
AT3G57300	1
AT3G57470	1
AT3G59100	1
AT3G62090	1
AT3G62410	1
AT4G01800	1
AT4G02260	1
AT4G02510	1
AT4G03260	1
AT4G08470	1
AT4G09020	1
AT4G13560	1
AT4G13885	1
AT4G14020	1
AT4G14400	1
AT4G16280	1
AT4G16370	1
AT4G16680	1
WS2_G0021828	1
AT5G62410	1
AT4G21660	1
AT4G21990	1
AT4G23170	1
AT4G25500	1
AT4G25707	1
AT4G27030	1
AT4G27800	1
AT4G27820	1
AT4G28390	1
AT4G30310	1
AT4G33510	1
AT4G33980	1
AT4G34140	1
AT4G34890	1
AT4G36430	1
AT4G37470	1
AT4G38970	1
AT5G01020	1
AT5G02710	1
AT5G02810	1
AT5G03830	1
AT5G04090	1
AT5G04140	1
AT5G04810	1
AT5G04870	1
AT5G07240	1
AT5G08640	1
AT5G09880	1
AT5G10230	1
AT5G11350	1
AT5G13010	1
AT5G13650	1
AT5G13930	1
AT5G14220	1
AT5G14740	1
AT5G16560	1
AT5G16620	1
AT5G16970	1
AT5G19210	1
AT5G23330	1
AT2G23985	1
AT5G24470	1
AT5G24670	1
AT5G25560	1
AT5G26220	1
AT5G26240	1
AT5G26742	1
AT5G35210	1
AT5G38420	1
AT5G38510	1
AT5G39150	1
AT5G41260	1
AT5G42030	1
AT5G42900	1
AT5G42950	1
AT5G43870	1
AT5G44750	1
AT5G48250	1
AT5G50160	1
AT5G50400	1
AT5G51110	1
AT5G51580	1
AT5G54080	1
AT5G54930	1
AT5G54960	1
AT5G55220	1
AT5G55390	1
AT5G56900	1
AT5G58200	1
AT5G58575	1
AT5G59340	1
AT5G60100	1
AT5G60540	1
AT5G65790	1
AT2G07787	1
