V1	V2
AT1G01060	1
AT1G01190	1
AT1G01900	1
AT1G02335	1
AT1G02640	1
AT1G04820	1
AT1G05310	1
AT1G05350	1
AT1G05720	1
AT1G06040	1
AT1G06090	1
AT1G07750	1
AT1G08200	1
AT1G08560	1
AT1G09890	1
AT1G10360	1
AT1G10630	1
AT1G10670	1
AT1G11190	1
AT1G11840	1
AT1G12000	1
AT1G12240	1
AT1G12550	1
AT1G12840	1
AT1G13710	1
AT1G14290	1
AT1G15370	1
AT1G15690	1
AT1G18370	1
AT1G18460	1
AT1G19840	1
AT1G20010	1
AT1G21440	1
AT1G22300	1
AT1G22410	1
AT1G23190	1
AT1G23790	1
AT1G26820	1
AT1G29395	1
AT1G30120	1
AT1G30530	1
AT1G30690	1
AT1G30820	1
AT1G32100	1
AT1G32120	1
AT1G35160	1
AT1G43790	1
AT1G48600	1
AT1G48830	1
AT1G50010	1
AT1G50430	1
AT1G52030	1
AT1G52760	1
AT1G53140	1
AT1G53290	1
AT1G53580	1
AT1G54500	1
AT1G56570	1
AT1G63000	1
AT1G63120	1
AT1G63420	1
AT1G64090	1
AT1G64200	1
AT1G64590	1
AT1G66130	1
AT1G68200	1
AT1G69570	1
AT1G69820	1
AT1G70260	1
AT1G70330	1
AT1G70410	1
AT1G70490	1
AT1G70500	1
AT1G71880	1
AT1G73220	1
AT1G73370	1
AT1G74560	1
AT1G75280	1
AT1G75680	1
AT1G76550	1
AT1G76670	1
AT1G76740	1
AT1G78300	1
AT1G78680	1
AT1G78900	1
AT1G80760	1
AT2G04450	1
AT2G14095	1
AT2G16270	1
AT2G16510	1
AT2G16980	1
AT2G18020	1
AT2G19800	1
AT2G20140	1
AT2G20340	1
AT2G20420	1
AT2G22240	1
AT2G26180	1
AT2G26690	1
AT2G26760	1
AT2G28310	1
AT2G28470	1
AT2G29560	1
AT2G30860	1
AT2G31070	1
AT2G31390	1
AT2G32730	1
AT2G36310	1
AT2G36500	1
AT2G37460	1
AT2G37620	1
AT2G38740	1
AT2G39010	1
AT2G39330	1
AT2G39460	1
AT2G39770	1
AT2G41475	1
AT2G41480	1
AT2G42260	1
AT2G43330	1
AT2G44060	1
AT2G44260	1
AT2G44670	1
AT2G45790	1
AT2G45890	1
AT2G46830	1
AT2G47170	1
AT2G47320	1
AT2G47670	1
AT2G47810	1
AT3G01330	1
AT3G02180	1
AT3G02380	1
AT3G03130	1
AT3G03150	1
AT3G04090	1
AT3G05910	1
AT3G07880	1
AT3G08580	1
AT3G08890	1
AT3G09200	1
AT3G09820	1
AT3G10260	1
AT3G10740	1
AT3G10840	1
AT3G11490	1
AT3G11520	1
AT3G12145	1
AT3G12320	1
AT3G13750	1
AT3G13860	1
AT3G14067	1
AT3G14190	1
AT3G14720	1
AT3G15354	1
AT3G16410	1
AT3G16570	1
AT3G17350	1
AT3G18350	1
AT3G19430	1
AT3G19590	1
AT3G19710	1
AT3G21550	1
AT3G22890	1
AT3G23890	1
AT3G25570	1
AT3G26130	1
AT3G30775	1
AT3G43210	1
AT3G43810	1
AT3G45010	1
AT3G45700	1
AT3G47940	1
AT3G48040	1
AT3G48740	1
AT3G49070	1
AT3G51930	1
AT3G52150	1
AT3G52840	1
AT3G52990	1
AT3G53010	1
AT3G53620	1
AT3G53720	1
AT3G53750	1
AT3G53980	1
AT3G54560	1
AT3G54600	1
AT3G55440	1
AT3G57520	1
AT3G59760	1
AT3G60130	1
AT3G61440	1
AT3G62020	1
AT3G62160	1
AT3G63200	1
AT4G00220	1
AT4G04460	1
AT4G04830	1
AT4G04840	1
AT4G08160	1
AT4G08300	1
AT4G10310	1
AT4G11820	1
AT4G12910	1
AT4G14960	1
AT4G15396	1
AT4G16620	1
AT4G17390	1
AT4G17890	1
AT4G18060	1
AT4G18440	1
AT4G19720	1
AT4G21650	1
AT4G21880	1
AT4G21930	1
AT4G23800	1
AT4G24430	1
AT4G24960	1
AT4G28050	1
AT4G28250	1
AT4G29130	1
AT4G30450	1
AT4G30460	1
AT4G30810	1
AT4G31140	1
AT4G32330	1
AT4G32770	1
AT4G32830	1
AT4G33400	1
AT4G33550	1
AT4G34260	1
AT4G34720	1
AT4G34920	1
AT4G35100	1
AT4G35350	1
AT4G35950	1
AT4G36570	1
AT4G37430	1
AT4G37700	1
AT4G38470	1
AT4G38510	1
AT4G39280	1
AT4G39795	1
AT4G39800	1
AT5G01590	1
AT5G01600	1
AT5G01930	1
AT5G02370	1
AT5G03260	1
AT5G03300	1
AT5G04120	1
AT5G04200	1
AT5G05010	1
AT5G05630	1
AT5G06150	1
AT5G08400	1
AT5G09220	1
AT5G10390	1
AT5G10770	1
AT5G11980	1
AT5G12950	1
AT5G13450	1
AT5G14200	1
AT5G14470	1
AT5G15600	1
AT5G15650	1
AT5G16390	1
AT5G16590	1
AT5G17300	1
AT5G17920	1
AT5G18670	1
AT5G19760	1
AT5G19770	1
AT5G20060	1
AT5G20830	1
AT5G22390	1
AT5G23210	1
AT5G23820	1
AT5G23910	1
AT5G24300	1
AT5G24420	1
AT5G24580	1
AT5G25130	1
AT5G28520	1
AT5G28510	1
AT5G34940	1
AT5G38480	1
AT5G38610	1
AT5G39320	1
AT5G40020	1
AT5G42450	1
AT5G44040	1
AT5G44340	1
AT5G44530	1
AT5G44720	1
AT5G45290	1
AT5G45970	1
AT5G46800	1
AT5G47240	1
AT5G47770	1
AT5G48300	1
AT5G48920	1
AT5G49460	1
AT5G49720	1
AT5G50375	1
AT5G51600	1
AT5G52310	1
AT5G54180	1
AT5G54585	1
AT5G56120	1
AT5G59870	1
AT5G60390	1
AT5G60720	1
AT5G60930	1
AT5G62550	1
AT5G64080	1
AT5G65360	1
AT5G65990	1
AT5G66050	1
AT5G67070	1
AT5G67230	1
AT5G67270	1
AT5G67360	1
