V1	V2
AT1G06620	1
AT1G08450	1
WS2_G0001154	1
AT1G12610	1
AT1G14200	1
AT1G14880	1
AT1G15010	1
AT1G15430	1
AT1G16370	1
AT1G18300	1
AT1G18740	1
AT1G19210	1
AT1G21910	1
AT1G25500	1
AT1G26390	1
AT1G26800	1
AT1G27730	1
AT1G30135	1
AT1G32640	1
AT1G32928	1
AT1G33760	1
AT1G45145	1
AT1G54050	1
AT1G56660	1
AT1G59860	1
AT1G63090	1
AT1G63720	1
AT1G63840	1
AT1G66080	1
AT1G66180	1
AT1G66400	1
AT1G67340	1
AT1G70090	1
AT1G70380	1
AT1G72910	1
AT1G72920	1
AT1G72940	1
AT1G73540	1
AT1G74310	1
AT1G74450	1
AT1G74930	1
AT1G75150	1
AT1G76600	1
AT1G80840	1
AT2G01670	1
AT2G05635	1
AT3G44460	1
AT2G06040	1
AT3G17910	1
WS2_G0009463	1
AT2G20560	1
AT2G23120	1
AT2G23290	1
AT2G24100	1
AT2G24550	1
AT2G24850	1
AT2G25250	1
AT2G25460	1
AT2G26150	1
AT2G27080	1
AT2G27310	1
AT2G29400	1
AT2G29500	1
AT2G30020	1
AT2G30040	1
AT2G30360	1
AT2G30766	1
AT2G31945	1
AT2G32160	1
AT2G33020	1
AT2G34940	1
AT2G35930	1
AT2G36780	1
AT2G20630	1
AT2G41010	1
AT2G41835	1
AT2G42760	1
AT2G44840	1
AT2G45680	1
AT2G46240	1
AT2G46510	1
AT3G02910	1
AT3G06540	1
AT3G06780	1
AT3G07195	1
AT3G09350	1
AT3G09440	1
AT3G09940	1
AT3G10815	1
AT3G10930	1
AT3G11340	1
AT3G12580	1
AT3G14200	1
WS2_G0014820	1
AT3G15760	1
AT3G16050	1
AT3G16510	1
AT3G17611	1
AT3G19030	1
AT3G19580	1
AT3G21220	1
AT3G23250	1
AT3G24500	1
AT3G25780	1
AT3G26830	1
AT3G27210	1
AT3G28210	1
AT5G58000	1
AT3G44260	1
AT1G35460	1
AT3G46620	1
AT3G50060	1
AT3G50800	1
AT3G54810	1
AT3G55430	1
AT3G56360	1
AT3G57450	1
AT3G58980	1
AT3G59750	1
AT3G61190	1
AT1G10522	1
AT4G01540	1
AT4G02220	1
AT4G10890	1
AT2G06420	1
AT4G11280	1
AT4G11660	1
AT4G12400	1
AT4G12490	1
AT4G12500	1
AT4G13395	1
AT4G16140	1
AT4G16260	1
AT4G17500	1
AT4G21720	1
AT4G23570	1
AT4G24370	1
AT4G27280	1
AT4G27652	1
AT4G27654	1
AT4G27657	1
AT4G29780	1
AT4G30440	1
AT4G32020	1
AT4G32480	1
AT4G34410	1
WS2_G0023901	1
AT4G36990	1
AT4G37260	1
AT4G39890	1
AT5G01710	1
AT5G02490	1
AT5G03204	1
AT5G03990	1
AT5G04340	1
AT5G05410	1
AT5G08240	1
AT5G11070	1
AT5G12850	1
AT5G12920	1
AT5G16200	1
AT5G16360	1
AT5G17350	1
AT5G19230	1
AT5G21960	1
AT5G22060	1
AT5G22250	1
AT5G27520	1
AT5G35320	1
AT5G37770	1
AT5G44350	1
AT5G47120	1
AT4G08410	1
AT5G49280	1
AT5G51440	1
AT5G51990	1
AT5G52050	1
AT5G56010	1
AT5G56030	1
AT5G57510	1
AT5G57560	1
AT5G58090	1
AT5G58680	1
AT5G59550	1
AT5G59820	1
AT5G61600	1
AT5G64260	1
AT5G64310	1
AT5G64870	1
AT5G67300	1
